consensus_answer,pcons_all_1,pcons_all_2,pcons_all_3,pcons_all_4,pcons_consensus_answer
C,0,0.0185185185185185,0.722222222222222,0.259259259259259,72.2222222222222
D,0,0,0,1,100
A,0.981481481481482,0.0185185185185185,0,0,98.1481481481482
B,0,0.944444444444444,0,0.0555555555555556,94.4444444444444
A,0.555555555555556,0.351851851851852,0.0740740740740741,0.0185185185185185,55.5555555555556
D,0,0,0,1,100
A,1,0,0,0,100
A,1,0,0,0,100
A,0.962962962962963,0.0185185185185185,0.0185185185185185,0,96.2962962962963
C,0,0,1,0,100
D,0,0,0,1,100
D,0.0185185185185185,0,0,0.981481481481482,98.1481481481482
B,0,0.981481481481482,0.0185185185185185,0,98.1481481481482
A,0.962962962962963,0.0185185185185185,0,0.0185185185185185,96.2962962962963
C,0,0,1,0,100
B,0,0.944444444444444,0.037037037037037,0.0185185185185185,94.4444444444444
B,0.0185185185185185,0.981481481481482,0,0,98.1481481481482
C,0,0,1,0,100
C,0,0,0.962962962962963,0.037037037037037,96.2962962962963
D,0.0185185185185185,0,0.0185185185185185,0.962962962962963,96.2962962962963
D,0,0,0.0185185185185185,0.981481481481482,98.1481481481482
A,0.981481481481482,0,0.0185185185185185,0,98.1481481481482
B,0,1,0,0,100
B,0,1,0,0,100
C,0,0,1,0,100
A,1,0,0,0,100
D,0,0,0,1,100
A,0.944444444444444,0,0,0.0555555555555556,94.4444444444444
C,0,0,0.981481481481482,0.0185185185185185,98.1481481481482
B,0,1,0,0,100
A,0.981481481481482,0,0,0.0185185185185185,98.1481481481482
D,0.0185185185185185,0,0.037037037037037,0.944444444444444,94.4444444444444
D,0,0,0,1,100
A,1,0,0,0,100
B,0.037037037037037,0.962962962962963,0,0,96.2962962962963
B,0,1,0,0,100
C,0.111111111111111,0.0185185185185185,0.851851851851852,0.0185185185185185,85.1851851851852
A,0.962962962962963,0,0.037037037037037,0,96.2962962962963
C,0.0740740740740741,0.037037037037037,0.888888888888889,0,88.8888888888889
C,0,0,0.981481481481482,0.0185185185185185,98.1481481481482
B,0,1,0,0,100
C,0,0,1,0,100
D,0,0.0555555555555556,0,0.944444444444444,94.4444444444444
B,0,0.944444444444444,0,0.0555555555555556,94.4444444444444
A,1,0,0,0,100
D,0.037037037037037,0,0.0925925925925926,0.87037037037037,87.037037037037
B,0.037037037037037,0.907407407407407,0,0.0555555555555556,90.7407407407407
B,0.037037037037037,0.888888888888889,0.037037037037037,0.037037037037037,88.8888888888889
C,0,0,1,0,100
D,0.0185185185185185,0,0,0.981481481481482,98.1481481481482
C,0.0185185185185185,0,0.981481481481482,0,98.1481481481482
A,0.944444444444444,0.0185185185185185,0.037037037037037,0,94.4444444444444
B,0,1,0,0,100
A,0.981481481481482,0.0185185185185185,0,0,98.1481481481482
C,0,0.0185185185185185,0.962962962962963,0.0185185185185185,96.2962962962963
A,0.981481481481482,0.0185185185185185,0,0,98.1481481481482
C,0,0,0.981481481481482,0.0185185185185185,98.1481481481482
A,1,0,0,0,100
D,0,0,0,1,100
B,0.037037037037037,0.962962962962963,0,0,96.2962962962963
D,0,0,0,1,100
D,0.0185185185185185,0,0.0185185185185185,0.962962962962963,96.2962962962963
D,0,0.0185185185185185,0,0.981481481481482,98.1481481481482
B,0,0.981481481481482,0.0185185185185185,0,98.1481481481482
A,1,0,0,0,100
C,0,0,1,0,100
B,0,0.907407407407407,0.0185185185185185,0.0740740740740741,90.7407407407407
B,0.037037037037037,0.962962962962963,0,0,96.2962962962963
D,0,0.0185185185185185,0.0185185185185185,0.962962962962963,96.2962962962963
B,0.0185185185185185,0.981481481481482,0,0,98.1481481481482
A,0.944444444444444,0,0.0185185185185185,0.037037037037037,94.4444444444444
C,0,0,1,0,100
C,0,0.0185185185185185,0.981481481481482,0,98.1481481481482
C,0,0,0.888888888888889,0.111111111111111,88.8888888888889
D,0,0,0.0185185185185185,0.981481481481482,98.1481481481482
A,0.962962962962963,0,0.037037037037037,0,96.2962962962963
C,0,0,1,0,100
C,0,0,1,0,100
C,0.0925925925925926,0,0.907407407407407,0,90.7407407407407
C,0,0,1,0,100
D,0,0,0,1,100
B,0,1,0,0,100
A,0.981481481481482,0,0,0.0185185185185185,98.1481481481482
A,1,0,0,0,100
B,0,0.981481481481482,0.0185185185185185,0,98.1481481481482
B,0,0.962962962962963,0.0185185185185185,0.0185185185185185,96.2962962962963
B,0,0.981481481481482,0.0185185185185185,0,98.1481481481482
D,0,0,0,1,100
C,0,0.0185185185185185,0.962962962962963,0.0185185185185185,96.2962962962963
A,0.962962962962963,0,0.037037037037037,0,96.2962962962963
D,0,0.0185185185185185,0,0.981481481481482,98.1481481481482
C,0,0.0185185185185185,0.981481481481482,0,98.1481481481482
B,0,1,0,0,100
D,0.0740740740740741,0.0185185185185185,0,0.907407407407407,90.7407407407407
A,0.888888888888889,0,0.0925925925925926,0.0185185185185185,88.8888888888889
D,0,0,0.0185185185185185,0.981481481481482,98.1481481481482
D,0.0185185185185185,0.0185185185185185,0.0185185185185185,0.944444444444444,94.4444444444444
A,0.981481481481482,0.0185185185185185,0,0,98.1481481481482
D,0,0.0185185185185185,0,0.981481481481482,98.1481481481482
B,0,1,0,0,100
